Date,Narration,Value Date,Debit Amount,Credit Amount,Chq/Ref Number,Closing Balance
21/02/23,Online Shopping,21/02/23,0.00,54.63,2807915949998126,310.45
11/02/23,SALARY PROVAB TECHNOSOFT PVT LTD,11/02/23,0.00,55.98,9312253248913683,366.43
23/02/23,Utility Bill,23/02/23,0.00,50.01,9128538911508182,416.44
19/02/23,Online Shopping,19/02/23,24.11,0.00,4209353689928314,392.33
28/02/23,GST Payment,28/02/23,0.00,13.97,1485825263185749,406.30
20/02/23,Utility Bill,20/02/23,0.00,78.85,2136489573132053,485.15
24/02/23,ATM Withdrawal,24/02/23,88.31,0.00,3920878666179969,396.84
14/02/23,Misc. Debit,14/02/23,19.17,0.00,6460447670197622,377.67
10/02/23,GST Payment,10/02/23,0.00,81.54,1204952460470216,459.21
14/02/23,SALARY PROVAB TECHNOSOFT PVT LTD,14/02/23,16.97,0.00,3184850430443711,442.24
18/02/23,SALARY PROVAB TECHNOSOFT PVT LTD,18/02/23,0.00,21.26,3212623538959295,463.50
14/02/23,Utility Bill,14/02/23,88.10,0.00,3499874048362491,375.40
27/02/23,GST Payment,27/02/23,0.00,86.35,7200016779145216,461.75
01/02/23,GST Payment,01/02/23,0.00,17.55,6070557912415802,479.30
25/02/23,ATM Withdrawal,25/02/23,41.11,0.00,2499032613090769,438.19
25/02/23,GST Payment,25/02/23,0.00,16.72,7457728887708529,454.91
08/02/23,CHQ PAID-MICR CTS,08/02/23,0.00,25.42,8736323835712251,480.33
02/02/23,IMPS Transfer,02/02/23,41.92,0.00,6535401776155368,438.41
19/02/23,EMI Payment,19/02/23,52.06,0.00,1694918013589692,386.35
11/02/23,Utility Bill,11/02/23,0.00,88.17,3287221493109018,474.52
21/02/23,EMI Payment,21/02/23,65.68,0.00,6525708647767656,408.84
20/02/23,CHQ PAID-MICR CTS,20/02/23,0.00,77.96,3583150567995198,486.80
05/02/23,ATM Withdrawal,05/02/23,0.00,74.94,7827336299943233,561.74
01/02/23,EMI Payment,01/02/23,45.03,0.00,1890802582136759,516.71
14/02/23,SALARY PROVAB TECHNOSOFT PVT LTD,14/02/23,0.00,95.68,4651963827187783,612.39
19/02/23,Online Shopping,19/02/23,0.00,46.03,1374130278825755,658.42
12/02/23,SALARY PROVAB TECHNOSOFT PVT LTD,12/02/23,50.93,0.00,8338281414126029,607.49
13/02/23,IMPS Transfer,13/02/23,67.92,0.00,2460628848866990,539.57
21/02/23,Online Shopping,21/02/23,39.06,0.00,5181253542683956,500.51
11/02/23,EMI Payment,11/02/23,15.35,0.00,7423229723209491,485.16
05/02/23,IMPS Transfer,05/02/23,68.30,0.00,3285707100553290,416.86
07/02/23,Misc. Debit,07/02/23,0.00,73.45,6084730283350154,490.31
01/02/23,EMI Payment,01/02/23,35.22,0.00,9283818629093589,455.09
25/02/23,Online Shopping,25/02/23,94.88,0.00,9211300276114257,360.21
15/02/23,EMI Payment,15/02/23,0.00,31.98,4794879004542484,392.19
11/02/23,Utility Bill,11/02/23,62.07,0.00,8283442456385932,330.12
12/02/23,Misc. Debit,12/02/23,0.00,20.27,6257151673412016,350.39
21/02/23,ATM Withdrawal,21/02/23,0.00,43.67,6772048194288105,394.06
07/02/23,IMPS Transfer,07/02/23,0.00,22.10,2961532434011353,416.16
12/02/23,CHQ PAID-MICR CTS,12/02/23,0.00,70.17,8449112875552878,486.33
16/02/23,ATM Withdrawal,16/02/23,67.81,0.00,7060313310147159,418.52
14/02/23,ATM Withdrawal,14/02/23,0.00,16.00,7789521010589587,434.52
07/02/23,NEFT Transfer,07/02/23,0.00,97.89,3697938342897276,532.41
18/02/23,Misc. Debit,18/02/23,0.00,70.52,4059713537409150,602.93
26/02/23,ATM Withdrawal,26/02/23,29.82,0.00,2285660656066489,573.11
10/02/23,CHQ PAID-MICR CTS,10/02/23,0.00,57.41,7316765899547149,630.52
12/02/23,CHQ PAID-MICR CTS,12/02/23,0.00,69.48,1450139248191074,700.00
21/02/23,GST Payment,21/02/23,0.00,56.71,9357754182336129,756.71
12/02/23,EMI Payment,12/02/23,47.72,0.00,4112584002278163,708.99
12/02/23,IMPS Transfer,12/02/23,0.00,69.18,1450828952480380,778.17
04/02/23,NEFT Transfer,04/02/23,40.49,0.00,8853734432307698,737.68
28/02/23,CHQ PAID-MICR CTS,28/02/23,0.00,81.73,9413171680398576,819.41
02/02/23,CHQ PAID-MICR CTS,02/02/23,30.02,0.00,6180784713203928,789.39
03/02/23,SALARY PROVAB TECHNOSOFT PVT LTD,03/02/23,83.69,0.00,2853104506681106,705.70
16/02/23,Utility Bill,16/02/23,74.95,0.00,5383201831387447,630.75
